Date,price
02-11-2013,2.83
03-11-2013,2.83
04-11-2013,2.83
05-11-2013,2.83
06-11-2013,2.83
07-11-2013,2.83
08-11-2013,2.83
09-11-2013,2.83
10-11-2013,2.83
11-11-2013,2.83
12-11-2013,2.83
13-11-2013,2.83
14-11-2013,2.83
15-11-2013,2.83
16-11-2013,2.83
17-11-2013,2.83
18-11-2013,2.83
19-11-2013,2.83
20-11-2013,2.83
21-11-2013,2.83
22-11-2013,2.83
23-11-2013,2.83
24-11-2013,2.83
25-11-2013,2.83
26-11-2013,2.83
27-11-2013,2.83
28-11-2013,2.83
29-11-2013,2.83
30-11-2013,2.83
01-12-2013,2.96
02-12-2013,2.96
03-12-2013,2.96
04-12-2013,2.96
05-12-2013,2.96
06-12-2013,2.96
07-12-2013,2.96
08-12-2013,2.96
09-12-2013,2.96
10-12-2013,2.96
11-12-2013,2.96
12-12-2013,2.96
13-12-2013,2.96
14-12-2013,2.96
15-12-2013,2.96
16-12-2013,2.96
17-12-2013,2.96
18-12-2013,2.96
19-12-2013,2.96
20-12-2013,2.96
21-12-2013,2.96
22-12-2013,2.96
23-12-2013,2.96
24-12-2013,2.96
25-12-2013,2.96
26-12-2013,2.96
27-12-2013,2.96
28-12-2013,2.96
29-12-2013,2.96
30-12-2013,2.96
31-12-2013,2.96
01-01-2014,2.96
02-01-2014,2.96
03-01-2014,2.96
04-01-2014,2.96
05-01-2014,2.96
06-01-2014,2.96
07-01-2014,2.96
08-01-2014,2.96
09-01-2014,2.96
